"Date","RRP"
01/01/13,46.15
02/01/13,47.72
03/01/13,48.08
04/01/13,49.65
05/01/13,51.56
06/01/13,48.67
07/01/13,54.4
08/01/13,51.93
09/01/13,49.02
10/01/13,49.01
11/01/13,56.91
12/01/13,50.71
13/01/13,49.34
14/01/13,49.24
15/01/13,49.31
16/01/13,49.71
17/01/13,53.97
18/01/13,67.21
19/01/13,47.96
20/01/13,47.46
21/01/13,49.8
22/01/13,49.65
23/01/13,49.31
24/01/13,50.39
25/01/13,50.57
26/01/13,48.4
27/01/13,48.63
28/01/13,48.89
29/01/13,49.68
30/01/13,50.22
31/01/13,53.78
01/02/13,49.94
02/02/13,47.94
03/02/13,47.51
04/02/13,49.73
05/02/13,50.71
06/02/13,50.6
07/02/13,50.39
08/02/13,52.28
09/02/13,50.66
10/02/13,49
11/02/13,50.42
12/02/13,51.58
13/02/13,52
14/02/13,53.94
15/02/13,56.89
16/02/13,55.76
17/02/13,53.86
18/02/13,53.05
19/02/13,52.52
20/02/13,50.94
21/02/13,50.01
22/02/13,49.05
23/02/13,49.42
24/02/13,52.61
25/02/13,56.45
26/02/13,61.52
27/02/13,58.24
28/02/13,52.34
01/03/13,50.78
02/03/13,51.62
03/03/13,49.45
04/03/13,52.85
05/03/13,54.62
06/03/13,55.15
07/03/13,56.47
08/03/13,53.56
09/03/13,54.01
10/03/13,55.09
11/03/13,57.86
12/03/13,53.49
13/03/13,53.05
14/03/13,52.53
15/03/13,52.29
16/03/13,51.62
17/03/13,48.71
18/03/13,50.01
19/03/13,49.36
20/03/13,51.06
21/03/13,51.6
22/03/13,53.48
23/03/13,53.25
24/03/13,52.05
25/03/13,54.36
26/03/13,53.41
27/03/13,55.27
28/03/13,54.7
29/03/13,48.98
30/03/13,48.85
31/03/13,48.29
01/04/13,49.41
02/04/13,52.58
03/04/13,50.44
04/04/13,51.86
05/04/13,52.12
06/04/13,50.63
07/04/13,50.79
08/04/13,53.81
09/04/13,53.01
10/04/13,55.52
11/04/13,56.13
12/04/13,58.68
13/04/13,52.37
14/04/13,53.37
15/04/13,63.06
16/04/13,58.89
17/04/13,55.95
18/04/13,57.71
19/04/13,54
20/04/13,54.29
21/04/13,51.78
22/04/13,54.28
23/04/13,54.75
24/04/13,54.52
25/04/13,49.76
26/04/13,51.25
27/04/13,48.4
28/04/13,50.36
29/04/13,57.99
30/04/13,63.15
01/05/13,57.72
02/05/13,59.56
03/05/13,53.23
04/05/13,54.73
05/05/13,53.11
06/05/13,62.22
07/05/13,57.33
08/05/13,54.06
09/05/13,57.05
10/05/13,54.87
11/05/13,52.75
12/05/13,49.99
13/05/13,61.53
14/05/13,54.12
15/05/13,55.05
16/05/13,54.51
17/05/13,55.58
18/05/13,51.39
19/05/13,50.61
20/05/13,55.46
21/05/13,57.86
22/05/13,63.57
23/05/13,54.27
24/05/13,60.73
25/05/13,50.65
26/05/13,50.21
27/05/13,55.44
28/05/13,54.22
29/05/13,51.83
30/05/13,51.93
31/05/13,51.51
01/06/13,48.74
02/06/13,49.61
03/06/13,52.49
04/06/13,53.35
05/06/13,51.19
06/06/13,49.82
07/06/13,49.88
08/06/13,50.03
09/06/13,48.5
10/06/13,49.14
11/06/13,53.46
12/06/13,55.51
13/06/13,52.02
14/06/13,51.55
15/06/13,53.04
16/06/13,54.91
17/06/13,57.26
18/06/13,58.19
19/06/13,58.57
20/06/13,66.56
21/06/13,62.53
22/06/13,73.45
23/06/13,64.71
24/06/13,79.67
25/06/13,61.44
26/06/13,58.5
27/06/13,57.69
28/06/13,61.47
29/06/13,58.16
30/06/13,53.66
01/07/13,55.71
02/07/13,57.34
03/07/13,55.72
04/07/13,53.47
05/07/13,52.48
06/07/13,53.08
